# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
1.96	-0.0422015	0.014131	0.0305646	-0.042893	-0.089799	0.000780355	0.608011	22.1622	2954.95	-1.57127	-7.12328
1.98	-0.0410233	0.0132744	0.0306036	0.0706864	-0.0428291	0.00194917	0.479196	17.7925	2955.09	1.50072	6.45204
2	-0.0416558	0.0115742	0.0305997	-0.0379527	-0.0850113	-0.00019474	0.595626	21.8259	2955.2	-1.28919	-6.61516
2.02	0.0204961	0.0107312	0.0305802	0.0567921	-0.042151	-0.000974443	0.479298	17.8883	2955.24	1.21911	6.02732
2.04	-0.0412541	0.00909944	0.0305724	-0.0326862	-0.0815879	-0.000389945	0.587159	21.6217	2955.35	-1.04269	-5.84857
2.06	-0.0405078	0.00824369	0.0305744	0.0447601	-0.0427873	9.75095e-05	0.483421	18.0575	2955.25	0.966659	5.50256
2.08	-0.0409787	0.00667553	0.0305822	-0.0282633	-0.078408	0.000389945	0.580965	21.4121	2955.16	-0.860324	-5.0261
2.1	-0.0403505	0.00576878	0.0305939	0.0376839	-0.0453373	0.000584684	0.490596	18.3506	2955.1	0.872373	4.87654
2.12	-0.0407504	0.00423303	0.0305939	-0.0240003	-0.0767877	0	0.577373	21.3356	2955.32	-0.665261	-4.24018
2.14	-0.0403459	0.00326452	0.0305978	0.0242693	-0.0484258	0.000194833	0.499685	18.6466	2955.38	0.616566	3.80799
2.16	-0.0406933	0.00178974	0.0305958	-0.0208506	-0.073739	-9.74163e-05	0.569434	21.0555	2955.4	-0.4913	-3.69115
2.18	-0.0404239	0.00077842	0.0305939	0.0161598	-0.0505658	-9.74163e-05	0.506164	18.9084	2955.44	0.482468	2.83107
2.2	-0.0407619	-0.000624865	0.0305919	-0.0202805	-0.0701643	-9.75095e-05	0.560399	20.7856	2955.43	-0.396049	-3.66946
2.22	0.0206777	-0.00155286	0.0305685	0.0140568	-0.0463999	-0.00116965	0.4954	18.6097	2955.3	0.471777	2.64275
2.24	0.0202722	-0.00284043	0.0305373	-0.0243006	-0.0643782	-0.0015609	0.544602	20.2516	2955.33	-0.383744	-4.56693
2.26	0.0204415	-0.00354799	0.0305158	0.0101906	-0.0353783	-0.00107409	0.465395	17.7356	2955.47	0.47397	2.72811
2.28	0.0200627	-0.00461338	0.0305197	-0.0226837	-0.0532695	0.000195391	0.514279	19.2258	2955.47	-0.159682	-4.1949
2.3	0.0198755	-0.00513861	0.030551	-0.0112012	-0.0262612	0.00156183	0.439854	17.0252	2955.39	0.457101	-0.76774
2.32	0.019278	-0.00557792	0.0305783	-0.0358343	-0.0219655	0.00136523	0.428654	16.7569	2955.45	0.127313	-6.68378
2.34	-0.0426758	-0.00517248	0.0305861	-0.0449039	0.0202721	0.000389945	0.312056	14.3769	2955.49	-0.141473	-7.42647
2.36	-0.0432983	-0.00382954	0.0305334	-0.0373552	0.0671469	-0.0026335	0.183595	12.9718	2955.52	-0.513501	-5.87927
2.38	-0.043371	-0.00175218	0.0304787	-0.00436937	0.103868	-0.00273585	0.0832989	12.7763	2955.57	1.34951	6.46569
2.4	-0.044654	-0.000546719	0.0304396	-0.0770127	0.0602728	-0.00195717	0.204904	13.3099	2955.59	-2.87512	-7.85342
2.42	-0.0429377	0.00164174	0.0303729	0.102964	0.109423	-0.00333302	0.0659122	13.0117	2955.61	1.46482	7.97177
2.44	-0.0427612	0.0027675	0.0303474	0.0105434	0.056288	-0.00127628	0.214661	13.2765	2955.62	1.78596	6.8824
2.46	-0.044648	0.00298167	0.0303591	-0.113298	0.0107081	0.000589155	0.337231	15.2912	2955.36	-2.74914	-7.98271
2.48	-0.0433597	0.00426476	0.0303768	0.0772546	0.0641547	0.000883359	0.191547	13.1765	2955.25	1.2058	7.87604
2.5	-0.0435915	0.00453188	0.0303984	-0.0139794	0.0133561	0.00107903	0.333811	14.8519	2955.19	0.72087	1.32067
2.52	-0.0445355	0.00463342	0.0304239	-0.0567087	0.00507715	0.00127414	0.356826	15.389	2955.15	-1.16935	-7.77352
2.54	-0.0439977	0.00575571	0.030467	0.0322348	0.0561144	0.00215387	0.215937	13.3421	2955.11	1.65973	7.58113
2.56	-0.0454624	0.00590277	0.0304963	-0.0879218	0.00735272	0.00146683	0.3529	15.4367	2955.08	-2.42251	-7.9592
2.58	-0.0441048	0.00708822	0.0305412	0.0814398	0.0592729	0.00224635	0.209033	13.3946	2955.2	1.07224	7.88779
2.6	-0.044125	0.00725171	0.03059	-0.00122508	0.00817431	0.00243792	0.348991	15.229	2955.19	0.772784	4.6222
2.62	0.0162424	0.00681537	0.0305822	-0.0502807	-0.0218171	-0.000389758	0.431749	17.1966	2955.28	-0.910362	-7.62614
2.64	0.0165991	0.00737159	0.0305412	0.0214141	0.0278112	-0.00204816	0.296883	14.4257	2955.36	1.07734	7.0518
2.66	0.015595	0.00699743	0.0305139	-0.0602126	-0.0187082	-0.001367	0.424796	17.1358	2955.42	-1.32384	-7.85225
2.68	0.01622	0.0076404	0.0304826	0.0375317	0.0321487	-0.00156369	0.287409	14.3826	2955.48	0.954449	7.48355
2.7	0.0156153	0.00729236	0.0304885	-0.0362324	-0.0174019	0.000293273	0.421886	17.1126	2955.53	-0.474325	-6.18138
2.72	0.0157074	0.00774544	0.0304904	0.00555596	0.0226537	9.77889e-05	0.313982	14.8997	2955.55	0.925019	6.1297
2.74	0.0147241	0.0073828	0.0305061	-0.0589487	-0.0181319	0.000781845	0.425056	17.3762	2955.55	-1.33837	-7.82742
2.76	0.0153157	0.00803243	0.0305139	0.0355209	0.0324816	0.000390783	0.2896	14.634	2955.53	0.915799	7.48089
2.78	0.014834	0.00769987	0.0305568	-0.0288752	-0.016628	0.00214754	0.423977	17.3515	2955.54	-0.331509	-4.16711
2.8	-0.0463486	0.00790176	0.0305997	0.00137606	0.0100944	0.00214456	0.351763	15.7887	2955.44	0.613516	5.36073
2.82	0.0141391	0.00742295	0.0305939	-0.0430609	-0.0239403	-0.000292249	0.444171	17.9973	2955.36	-0.852238	-7.0874
2.84	0.0145399	0.00787876	0.0305861	0.0240523	0.0227905	-0.000389758	0.318467	15.2384	2955.21	0.79016	7.12396
2.86	0.0139526	0.00741492	0.0305939	-0.0352305	-0.0231922	0.000389758	0.444441	18.0289	2955.15	-0.648003	-5.84157
2.88	0.0142501	0.00772666	0.0305958	0.0178495	0.0155871	9.74163e-05	0.338304	15.6385	2955.1	0.683896	6.76862
2.9	-0.0474819	0.00716614	0.0305997	-0.0315976	-0.0280257	0.000194833	0.458439	18.4558	2955.08	-0.622616	-4.97801
2.92	-0.0471699	0.00726814	0.0305997	0.0187197	0.0050999	0	0.367837	16.2537	2955.06	0.491097	6.53916
2.94	-0.0474743	0.00651972	0.0305919	-0.0182658	-0.0374212	-0.000389758	0.485162	19.2512	2955	-0.49814	-0.950366
2.96	-0.0471545	0.00590547	0.0305958	0.0191878	-0.0307123	0.000194926	0.467034	18.703	2955	0.160788	5.18072
2.98	-0.0470947	0.00464434	0.0305939	0.00358165	-0.0630568	-9.74163e-05	0.555772	21.5188	2955.09	-0.191127	1.92153
3	-0.0469149	0.0031589	0.0305939	0.0107835	-0.0742718	0	0.586458	22.6142	2955.18	0.136406	1.57134
3.02	-0.0469688	0.0014734	0.0305939	-0.00323867	-0.084275	0	0.614113	23.7046	2955.17	-0.255987	-0.610867
3.04	-0.0466601	-0.000130323	0.0305958	0.018517	-0.0801861	9.74163e-05	0.602931	23.2531	2955.14	0.554336	1.10771
3.06	0.0141729	-0.00188367	0.0305802	-0.0223379	-0.0876672	-0.00077961	0.624191	24.1477	2955.35	-0.864289	-3.97793
3.08	0.0148207	-0.00312844	0.0305802	0.0388807	-0.0622389	0	0.553557	21.4382	2955.5	1.07902	2.91979
3.1	0.0142166	-0.00477159	0.0305822	-0.036233	-0.0821574	9.75095e-05	0.608369	23.5584	2955.49	-1.17796	-6.39802
3.12	0.0149718	-0.00560174	0.0305861	0.0453183	-0.0415076	0.000194926	0.496649	19.582	2955.44	1.06838	4.31373
