# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
0.78	1.1425	-0.0113004	0.0564531	0.518001	0.0268046	0.0628881	-0.103513	-0.0106698	0.00356118	26.8873	178.526	0	0
0.79	1.14338	-0.0112397	0.0570772	0.0916033	0.0060631	0.0624049	-0.151425	-0.0103736	0.00322767	26.7741	178.515	-0.1	0
0.8	1.14956	-0.0109541	0.0580058	0.6198	0.0285592	0.0928637	-0.0700072	-0.0101929	0.00266892	28.0006	178.509	0	0
0.81	1.15133	-0.0109363	0.0586581	0.180595	0.00178032	0.0652291	-0.151259	-0.00994146	0.00238908	27.8783	178.505	-0.1	0
0.82	1.15822	-0.0106623	0.0596232	0.690318	0.0274072	0.0965074	-0.0683071	-0.00979067	0.00185647	29.1315	178.503	0	0
0.83	1.1605	-0.0106321	0.0603163	0.232152	0.00301441	0.0693172	-0.17233	-0.00955638	0.00156004	29.0029	178.503	-0.1	0
0.84	1.16778	-0.0103003	0.0613176	0.73045	0.0331797	0.100126	-0.089389	-0.00935508	0.000994035	30.2804	178.493	0	0
0.85	1.17048	-0.0102079	0.0619967	0.274592	0.00923667	0.0679065	-0.160938	-0.00903754	0.000661308	30.1448	178.484	0	0
0.86	1.16916	-0.0100812	0.0626484	-0.12906	0.0126787	0.0651725	-0.100497	-0.00861746	0.000143703	30.0172	178.48	-0.1	0
0.87	1.18094	-0.00959359	0.0633687	1.18179	0.0487569	0.0720359	-0.142159	-0.00811592	-0.000300363	31.3331	178.471	0.1	0
0.88	1.17839	-0.00943543	0.0640335	-0.251631	0.0158157	0.0664793	-0.109708	-0.0075965	-0.000881981	29.7541	178.468	-0.1	0
0.89	1.1892	-0.00888914	0.065051	1.08613	0.0546292	0.101748	-0.18518	-0.00727874	-0.00151889	31.0635	178.474	0.1	0
0.9	1.18566	-0.00868468	0.0655816	-0.348367	0.0204458	0.0530571	-0.168542	-0.00660744	-0.00215599	29.4984	178.484	-0.1	0
0.91	1.19573	-0.00807554	0.066493	1.01435	0.0609143	0.0911377	-0.237191	-0.00609989	-0.00281378	30.7979	178.472	0.1	0
0.92	1.19165	-0.0077672	0.0674761	-0.402976	0.0308339	0.0983104	-0.138558	-0.00559525	-0.00372049	29.2444	178.455	-0.1	0.2
0.93	1.20117	-0.00914486	0.068673	0.941067	-0.137766	0.119697	0.286858	-0.00633343	-0.00229088	30.5623	178.45	0	-0.2
0.94	1.20538	-0.00854563	0.0698854	0.428029	0.0599227	0.121234	-0.207859	-0.00604876	-0.00329724	30.3956	178.442	0	0
0.95	1.20521	-0.00817384	0.0706131	-0.00572063	0.0371796	0.0727743	-0.286854	-0.00536708	-0.00403125	30.2732	178.432	0	0
0.96	1.20864	-0.00753253	0.0714504	0.351465	0.0641301	0.0837311	-0.23634	-0.00464037	-0.00494692	30.1383	178.417	0	0
0.97	1.20799	-0.00708789	0.0722359	-0.0556121	0.044464	0.0785522	-0.245929	-0.00381713	-0.00577261	30.0156	178.405	0	0
0.98	1.21112	-0.00641434	0.0731176	0.321959	0.0673554	0.0881605	-0.234497	-0.00300297	-0.00671297	29.8849	178.389	0	0
0.99	1.21022	-0.00595035	0.0739725	-0.0802307	0.0463992	0.0854984	-0.234521	-0.00217579	-0.00758065	29.763	178.371	0	0
1	1.21314	-0.00529717	0.0749317	0.301532	0.0653179	0.0959173	-0.225352	-0.00135372	-0.0084976	29.6344	178.35	0.1	0
1.01	1.2026	-0.00527341	0.075641	-1.04176	0.00237618	0.0709251	-0.243118	-0.000400637	-0.00928297	28.1493	178.332	-0.1	0.2
1.02	1.20636	-0.00663643	0.0769709	0.364763	-0.136302	0.132999	0.253273	-0.000823526	-0.00803228	29.4046	178.329	0	0
1.03	1.2061	-0.00819029	0.0778979	-0.0351717	-0.155387	0.0926927	0.204357	-0.000901116	-0.00659569	29.2857	178.319	0	0
1.04	1.20948	-0.00944977	0.0788934	0.327002	-0.125948	0.0995502	0.225375	-0.000959712	-0.00536014	29.1568	178.316	0	-0.2
1.05	1.20844	-0.00875354	0.0803866	-0.0903076	0.0696236	0.149319	-0.28852	-0.000372146	-0.00670813	29.0421	178.311	0.1	0
1.06	1.2018	-0.00832834	0.0812357	-0.645859	0.0425203	0.0849143	-0.344402	0.000764192	-0.00783003	27.5597	178.305	0	0
1.07	1.1995	-0.00765155	0.0826383	-0.211251	0.0676786	0.140263	-0.366067	0.00151121	-0.00920324	27.4503	178.296	0.1	0
1.08	1.1921	-0.00695147	0.0838228	-0.724915	0.0700079	0.118443	-0.247973	0.00270593	-0.010805	26.0212	178.284	0	0.2
1.09	1.18947	-0.00815094	0.0854424	-0.269269	-0.119947	0.161965	0.133497	0.00245727	-0.0101998	25.8962	178.279	0	0
1.1	1.19078	-0.0091037	0.0865548	0.128499	-0.0952752	0.111239	0.0455426	0.00269096	-0.00944697	25.7932	178.281	0.1	-0.2
1.11	1.17875	-0.00857439	0.0880539	-1.17766	0.0529303	0.149911	-0.380056	0.00372531	-0.0112888	24.4684	178.249	0	0
1.12	1.17194	-0.00794514	0.0890702	-0.657475	0.0629251	0.101626	-0.391803	0.00521326	-0.0127335	24.3452	178.211	0.1	0
1.13	1.16033	-0.0077827	0.0903304	-1.13525	0.0162445	0.126022	-0.373766	0.00651308	-0.013998	23.0202	178.183	0	0
1.14	1.1538	-0.00742735	0.0917472	-0.630663	0.0355349	0.14168	-0.336888	0.00765525	-0.0152344	22.9106	178.141	0.1	0
1.15	1.14233	-0.00730943	0.0934943	-1.13365	0.0117924	0.174712	-0.156736	0.00854319	-0.0167293	21.6359	178.111	0	0
1.16	1.13622	-0.00732049	0.0951737	-0.587211	-0.0011066	0.167941	-0.33142	0.00937891	-0.0176188	21.5315	178.071	0.1	0
1.17	1.12507	-0.00753142	0.0972155	-1.10332	-0.0210925	0.204172	-0.115619	0.00993606	-0.0188846	20.3046	178.043	0	0
1.18	1.11882	-0.00798924	0.098859	-0.602767	-0.0457821	0.164357	-0.297392	0.0105436	-0.0193484	20.2072	178.033	0.1	0
1.19	1.10749	-0.00862399	0.10092	-1.12128	-0.0634756	0.206087	-0.0836001	0.010859	-0.0202597	19.0317	178.028	0	0
1.2	1.10096	-0.00928954	0.102462	-0.634228	-0.0665543	0.154243	-0.228597	0.0116114	-0.0204537	18.9424	177.995	0.1	0
1.21	1.08943	-0.0102735	0.104694	-1.13999	-0.0983936	0.223158	-0.0861016	0.0118865	-0.0210149	17.8142	177.958	0	0
1.22	1.08265	-0.0111048	0.106143	-0.667565	-0.0831287	0.1449	-0.0969318	0.0127527	-0.0210285	17.734	177.912	0.1	-0.2
1.23	1.07074	-0.0104569	0.108469	-1.14045	0.0647891	0.232575	-0.577664	0.0140669	-0.0234327	16.7265	177.879	0.1	0
1.24	1.05435	-0.0101325	0.110089	-1.59496	0.0324335	0.162044	-0.446805	0.0158624	-0.0256846	15.6888	177.859	0.1	0
1.25	1.0338	-0.0105339	0.112177	-1.98823	-0.0401393	0.208796	-0.685408	0.0172882	-0.0276435	14.7253	177.825	0	0
1.26	1.01883	-0.0101652	0.114424	-1.44864	0.036873	0.224694	-0.466574	0.0190961	-0.0300294	14.6255	177.772	0.1	0
1.27	0.99958	-0.0105985	0.116444	-1.85109	-0.043331	0.201981	-0.726477	0.0208205	-0.0318268	13.7008	177.714	0.1	0
1.28	0.976277	-0.0111009	0.11897	-2.26856	-0.0502371	0.25261	-0.519713	0.0224824	-0.0342805	12.8257	177.655	0.1	0
1.29	0.949432	-0.0122984	0.120553	-2.60074	-0.119756	0.158346	-0.723726	0.0245586	-0.0359475	11.9918	177.598	0	0
1.3	0.928717	-0.0128568	0.122462	-1.99718	-0.0558336	0.190849	-0.646664	0.0265035	-0.038105	11.8737	177.578	0.1	0
1.31	0.904383	-0.013687	0.123981	-2.35513	-0.0830199	0.151933	-0.639107	0.0288694	-0.040194	11.0914	177.582	0.1	0
1.32	0.876709	-0.0149382	0.125442	-2.67447	-0.125121	0.146055	-0.751086	0.0315784	-0.0419585	10.3535	177.588	0	-0.2
1.33	0.855033	-0.0134817	0.127789	-2.03132	0.14565	0.234732	-1.24011	0.0355961	-0.0462841	10.495	177.589	0.1	0
1.34	0.829947	-0.01238	0.129502	-2.36544	0.110166	0.171299	-1.24685	0.0403565	-0.0501655	9.78447	177.575	0.1	0
1.35	0.801636	-0.0116627	0.130748	-2.67288	0.0717325	0.124623	-1.34433	0.0455668	-0.0535634	9.13692	177.546	0.1	0
1.36	0.769928	-0.011275	0.132486	-3.0008	0.038769	0.173812	-1.39894	0.0506704	-0.0572995	8.5486	177.489	0.1	0
1.37	0.735431	-0.0111087	0.134142	-3.27487	0.0166354	0.165559	-1.38635	0.056172	-0.060986	7.98651	177.45	0.1	0
1.38	0.698197	-0.0112336	0.136853	-3.5436	-0.0124901	0.271057	-1.35835	0.0613472	-0.0653955	7.46824	177.392	0.1	0
1.39	0.658722	-0.0118599	0.138061	-3.74273	-0.0626382	0.120884	-1.53765	0.0674157	-0.0684998	6.98114	177.332	0	0
1.4	0.626743	-0.0116715	0.140302	-3.00275	0.0188403	0.224099	-1.48551	0.0736341	-0.0717182	6.80086	177.267	0.1	0
1.41	0.591821	-0.0117937	0.143242	-3.29578	-0.0122155	0.293978	-1.4119	0.0796332	-0.0756877	6.35406	177.195	0.1	0
1.42	0.55433	-0.0125649	0.144635	-3.52245	-0.0771209	0.139327	-1.61799	0.0861078	-0.0784313	5.94178	177.146	0.1	0
1.43	0.514149	-0.013403	0.147015	-3.79278	-0.0838126	0.237954	-1.53116	0.0926201	-0.0821933	5.6058	177.096	0.1	0
1.44	0.472251	-0.0146085	0.147693	-3.93767	-0.120552	0.067836	-1.71746	0.100114	-0.0841776	5.28692	177.026	0.1	0
1.45	0.428142	-0.0160016	0.148979	-4.15271	-0.139308	0.128612	-1.72106	0.107771	-0.0864186	5.05085	176.872	0	-0.2
1.46	0.391292	-0.0142609	0.15103	-3.37044	0.174074	0.205007	-2.2446	0.118122	-0.090077	5.45641	176.68	0.1	0
1.47	0.355402	-0.0130444	0.15213	-3.23503	0.121654	0.110091	-2.55004	0.12831	-0.0921656	5.01294	176.626	0.1	0
1.48	0.316396	-0.0119705	0.155113	-3.54828	0.107384	0.298299	-2.43487	0.138384	-0.0964578	4.87629	176.643	0.1	0
