# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
3.12	-0.150749	0.0203768	0.0301246	-0.227736	0.0176325	-0.00434732	0.265866	10.8395	2954.99	-5.90761	1.2722
3.14	-0.148125	0.0205595	0.030172	0.157323	0.00913376	0.00237282	0.27378	10.3727	2954.91	5.89361	0.115912
3.16	-0.151943	0.0207674	0.0300413	-0.229183	0.0103933	-0.00653425	0.278187	11.2254	2954.96	-5.90605	1.1762
3.18	-0.149305	0.0208378	0.0301028	0.158087	0.003519	0.00307262	0.291367	10.7719	2954.9	5.89485	0.159281
3.2	-0.153112	0.0209207	0.0300155	-0.228546	0.00414783	-0.00436306	0.293937	11.6074	2954.83	-5.90426	1.16476
3.22	-0.150459	0.0208786	0.0300869	0.158992	-0.00210572	0.00357069	0.308131	11.1863	2954.78	5.89638	0.179784
3.24	-0.154251	0.0208568	0.0299857	-0.227695	-0.00108881	-0.00506099	0.314196	12.0351	2954.9	-5.90326	1.20909
3.26	-0.151626	0.0207036	0.030079	0.157336	-0.00766274	0.00466472	0.330895	11.6582	2954.87	5.89607	0.166627
3.28	-0.155442	0.0205642	0.0300116	-0.229168	-0.00696834	-0.00337306	0.333648	12.4752	2954.82	-5.90272	1.1529
3.3	-0.152845	0.020297	0.0300751	0.155643	-0.0133581	0.00317488	0.348947	12.1466	2954.93	5.89637	0.093059
3.32	-0.156688	0.0200525	0.0299877	-0.230822	-0.0122245	-0.00436716	0.351626	12.932	2954.89	-5.90246	1.0861
3.34	-0.154117	0.0196875	0.0300671	0.154087	-0.0182497	0.0039706	0.365599	12.598	2954.97	5.89655	0.018541
3.36	-0.157991	0.0193387	0.0299857	-0.232689	-0.0174425	-0.00406997	0.366765	13.4244	2955.08	-5.9019	0.973526
3.38	-0.155443	0.0188841	0.0301127	0.15269	-0.0227289	0.00634836	0.379134	13.0277	2955.02	5.89709	-0.0855793
3.4	-0.15934	0.0184724	0.0300632	-0.234033	-0.0205842	-0.00247667	0.376567	13.7447	2954.96	-5.90144	0.867535
3.42	-0.156819	0.017969	0.0301444	0.151094	-0.0251731	0.00405964	0.38831	13.356	2955.06	5.89698	-0.185144
3.44	-0.160742	0.0175143	0.0300909	-0.235578	-0.0227319	-0.00267215	0.38364	14.0322	2955.01	-5.90139	0.759664
3.46	-0.158251	0.016987	0.0301444	0.149274	-0.0263682	0.00267215	0.39463	13.5937	2955.13	5.89637	-0.2838
3.48	-0.162153	0.0165104	0.0301226	-0.234277	-0.023827	-0.00108806	0.389355	14.2786	2955.25	-5.90031	0.729855
3.5	-0.159626	0.0159407	0.0301602	0.151415	-0.0284862	0.00187885	0.401571	13.9067	2955.29	5.89822	-0.296892
3.52	-0.16351	0.0154229	0.0301107	-0.233204	-0.0258903	-0.00247275	0.395257	14.5515	2955.18	-5.89882	0.664707
3.54	-0.160948	0.014842	0.030251	0.153531	-0.029045	0.00701202	0.40366	14.0807	2955.1	5.89982	-0.317956
3.56	-0.164837	0.0143405	0.0302234	-0.233475	-0.0250752	-0.00138003	0.391372	14.5711	2955.09	-5.89836	0.55822
3.58	-0.162274	0.0137933	0.0303533	0.153626	-0.0273576	0.00649504	0.39987	14.0573	2955.06	5.89998	-0.385769
3.6	-0.166154	0.0133349	0.0303434	-0.232898	-0.0229212	-0.000491086	0.396345	14.6164	2955.02	-5.89923	0.592144
3.62	-0.163583	0.0128209	0.0304787	0.154207	-0.0257011	0.00676299	0.395792	14.0305	2955.04	5.90041	-0.43908
3.64	-0.167453	0.0124047	0.0304767	-0.232279	-0.0208115	-9.77889e-05	0.392363	14.5656	2955.02	-5.89903	0.550728
3.66	-0.164909	0.011914	0.030549	0.152643	-0.0245333	0.00361437	0.396633	14.0989	2955.12	5.89952	-0.517996
3.68	-0.168788	0.0115216	0.0305568	-0.232767	-0.0196198	0.000390224	0.390119	14.6032	2955.09	-5.89922	0.483403
3.7	-0.105042	0.0110599	0.0305471	0.152435	-0.0230849	-0.000487827	0.393388	14.1089	2955.15	5.89935	-0.57416
3.72	-0.10894	0.010695	0.0305256	-0.233873	-0.0182451	-0.00107372	0.390691	14.6805	2955.17	-5.90037	0.447007
3.74	-0.106403	0.0102521	0.0304904	0.15228	-0.0221454	-0.00175862	0.392863	14.1982	2955.32	5.89906	-0.611013
3.76	-0.110297	0.00987905	0.0304572	-0.233592	-0.0186528	-0.00166278	0.383762	14.7783	2955.34	-5.89903	0.327307
3.78	-0.107733	0.00945174	0.030367	0.153895	-0.0213654	-0.00450844	0.391376	14.2931	2955.36	5.89966	-0.602519
3.8	-0.111537	0.00911358	0.0302805	-0.228138	-0.0169083	-0.00432506	0.382868	14.8026	2955.39	-5.89692	0.438948
3.82	-0.108889	0.00871588	0.0302214	0.15906	-0.0198847	-0.00295592	0.390267	14.3367	2955.37	5.90134	-0.45927
3.84	-0.112665	0.00837023	0.0302194	-0.226443	-0.0172824	-9.86271e-05	0.384226	14.9426	2955.25	-5.89564	0.421326
3.86	-0.109995	0.0079786	0.0302174	0.160374	-0.0195819	-9.86271e-05	0.393258	14.4597	2955.06	5.90172	-0.438645
3.88	-0.113788	0.0076503	0.0302825	-0.227461	-0.0164149	0.00325162	0.380529	14.9502	2955.01	-5.89593	0.337137
3.9	-0.111138	0.00728346	0.0302095	0.159135	-0.0183418	-0.00364622	0.38846	14.439	2955.12	5.90132	-0.533545
3.92	-0.114952	0.00698411	0.0302647	-0.228692	-0.0149678	0.00276016	0.373028	14.9086	2955.11	-5.89641	0.244144
3.94	-0.112314	0.00667008	0.0302391	0.158398	-0.0157014	-0.00128094	0.382768	14.349	2955.18	5.9006	-0.581258
3.96	-0.116137	0.00641553	0.0302982	-0.229265	-0.0127274	0.00295425	0.370249	14.8885	2955.22	-5.89746	0.2306
3.98	-0.113512	0.00613175	0.030251	0.157632	-0.014189	-0.00236295	0.382995	14.4025	2954.99	5.89974	-0.601746
4	-0.117313	0.00589526	0.030314	-0.227947	-0.0118244	0.00314973	0.373093	14.9916	2955.04	-5.89734	0.268131
4.02	-0.11468	0.00562332	0.0303002	0.158123	-0.0135971	-0.000688434	0.376609	14.4187	2955.01	5.90056	-0.666767
4.04	-0.118489	0.00544113	0.0303729	-0.228443	-0.00910943	0.00363542	0.361245	14.8529	2954.96	-5.89754	0.195984
4.06	-0.115843	0.00525391	0.0303631	0.158824	-0.00936128	-0.000490714	0.370671	14.2765	2955.13	5.89969	-0.616306
4.08	-0.119626	0.00514353	0.0304513	-0.226908	-0.00551865	0.00441112	0.358792	14.7511	2955.17	-5.89824	0.281053
4.1	-0.116961	0.00500087	0.0304454	0.159966	-0.00713293	-0.000293646	0.362251	14.1737	2955.2	5.9002	-0.620431
4.12	-0.120728	0.00494917	0.0305158	-0.225981	-0.00258533	0.0035204	0.3512	14.628	2955.18	-5.89836	0.298595
4.14	-0.118054	0.0048574	0.0304982	0.160489	-0.00458853	-0.000879355	0.357289	14.1021	2955.24	5.89985	-0.594736
