# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
12.03	1.77829	0.0799866	0.148519	3.3498	0.168588	-0.0769004	1.93664	-0.230547	0.341311	24.3118	176.621	-0.1	0.1
12.04	1.81731	0.0811578	0.146912	3.5963	0.117119	-0.160736	2.20681	-0.229554	0.353536	25.76	176.622	-0.1	0
12.05	1.85749	0.0830779	0.143993	3.70456	0.192012	-0.291896	2.3262	-0.227684	0.364891	26.9062	176.662	-0.1	0.1
12.06	1.89983	0.0844892	0.142578	3.89126	0.14113	-0.141545	2.61988	-0.226614	0.377458	28.4286	176.697	-0.1	0.1
12.07	1.94426	0.085729	0.140908	4.03337	0.123981	-0.166956	3.27277	-0.225271	0.390498	30.022	176.622	-0.1	0.1
12.08	1.99072	0.0856847	0.140569	4.28173	-0.00443161	-0.0338659	2.86284	-0.22356	0.405684	31.5244	176.604	-0.1	0
12.09	2.03892	0.0870446	0.137087	4.4185	0.135995	-0.348283	3.26332	-0.219852	0.418549	32.7276	176.662	-0.1	0.1
12.1	2.08863	0.0871595	0.134681	4.59527	0.0114866	-0.240546	3.11025	-0.216159	0.433403	34.3997	176.766	-0.1	0.1
12.11	2.13966	0.0860355	0.131008	4.73226	-0.112393	-0.367291	3.1785	-0.210047	0.448962	35.9995	176.804	0.1	0
12.12	2.17205	0.083647	0.12929	2.88167	-0.238854	-0.171812	3.34817	-0.203169	0.463154	33.832	176.864	0.1	0
12.13	2.18824	0.0795614	0.128467	1.30738	-0.408562	-0.08232	3.07517	-0.195615	0.477132	32.087	176.967	0.1	-0.1
12.14	2.18948	0.0755409	0.129668	-0.159292	-0.40205	0.120127	2.93495	-0.189547	0.489881	30.2552	177.07	0.1	-0.1
12.15	2.18497	0.0722535	0.130561	-0.71443	-0.328736	0.0892594	2.75628	-0.183559	0.500788	28.4992	177.099	0.1	-0.1
12.16	2.17523	0.0695049	0.132077	-1.20347	-0.274862	0.151671	2.43089	-0.178176	0.510578	26.9137	177.073	0.1	-0.1
12.17	2.16059	0.0674482	0.134194	-1.66464	-0.205673	0.211671	2.15366	-0.173779	0.519307	25.4582	177.021	0.1	-0.1
12.18	2.14134	0.0664002	0.136735	-2.103	-0.104796	0.254086	1.93465	-0.170431	0.526534	24.0805	176.977	-0.1	-0.1
12.19	2.13727	0.0682054	0.137751	-0.568649	0.180522	0.101596	1.59737	-0.167666	0.532289	24.9047	176.936	-0.1	0
12.2	2.14705	0.0712513	0.137981	0.837221	0.304582	0.022988	1.232	-0.164892	0.538488	26.0304	176.899	-0.1	0.1
12.21	2.1617	0.074028	0.138283	1.29533	0.277674	0.0302583	1.46139	-0.162041	0.545805	27.3393	176.865	-0.1	0.1
12.22	2.18103	0.0762884	0.137804	1.73544	0.226041	-0.0479072	1.66566	-0.158333	0.554127	28.734	176.812	-0.1	0.1
12.23	2.20455	0.0780787	0.137157	2.12707	0.179033	-0.0647604	1.90092	-0.154056	0.563495	30.1992	176.76	-0.1	0.1
12.24	2.23139	0.0794585	0.136196	2.43499	0.137976	-0.0960663	2.11268	-0.149262	0.573728	31.7192	176.783	-0.1	0.1
12.25	2.26174	0.0805884	0.137133	2.77508	0.112989	0.0937134	2.19546	-0.143654	0.584906	33.2512	176.839	-0.1	0
12.26	2.29493	0.0824171	0.134273	3.02166	0.182868	-0.28607	2.53412	-0.13777	0.594591	34.5552	176.853	-0.1	0.1
12.27	2.33101	0.0833735	0.131974	3.30878	0.0956431	-0.229831	2.60936	-0.13141	0.60585	36.2146	176.876	-0.1	0.1
12.28	2.3694	0.0834693	0.128873	3.539	0.00958517	-0.31009	2.67614	-0.123709	0.617728	37.8454	176.894	-0.1	0
12.29	2.41005	0.0846753	0.125903	3.74138	0.120594	-0.297029	3.01955	-0.116353	0.628407	39.2122	176.918	-0.1	0.1
12.3	2.45282	0.0847709	0.123078	3.97391	0.00956133	-0.282496	2.9062	-0.108046	0.640535	40.9563	176.992	-0.1	0.1
12.31	2.49695	0.0841234	0.119333	4.10666	-0.0647545	-0.37446	3.04402	-0.0981957	0.652544	42.6879	177.113	0.1	0
12.32	2.52359	0.0824012	0.116219	2.37266	-0.172219	-0.311404	3.19284	-0.0876841	0.662763	40.4674	177.212	0.1	0
12.33	2.53462	0.0791934	0.115136	0.848061	-0.320771	-0.108292	2.97248	-0.07708	0.673205	38.6137	177.302	0.1	0
12.34	2.53196	0.0750114	0.114197	-0.503619	-0.418207	-0.0939794	2.91513	-0.0657295	0.68236	36.9284	177.355	0.1	-0.1
12.35	2.52371	0.0716399	0.114718	-1.03184	-0.337147	0.0521377	2.6037	-0.0559281	0.691086	35.0434	177.385	0.1	-0.1
12.36	2.51038	0.069364	0.11582	-1.52215	-0.227588	0.110178	2.3977	-0.0478977	0.69913	33.3044	177.427	0.1	-0.1
12.37	2.49272	0.0678742	0.116613	-1.92742	-0.14898	0.0793152	2.08728	-0.0408203	0.706142	31.6585	177.416	0	-0.1
12.38	2.48043	0.0682308	0.11766	-1.37461	0.0356615	0.104706	1.83707	-0.0352017	0.712336	31.3179	177.413	-0.1	0
12.39	2.48267	0.0697759	0.116889	0.0843713	0.154504	-0.0771262	1.62679	-0.0290633	0.718122	32.5173	177.423	-0.1	0
12.4	2.49052	0.072116	0.115812	0.63897	0.234012	-0.10772	1.67607	-0.0233597	0.723829	33.7756	177.433	-0.1	0.1
12.41	2.50336	0.0740098	0.115164	1.12289	0.18938	-0.064709	1.83928	-0.0171677	0.730675	35.2258	177.434	-0.1	0.1
12.42	2.52093	0.0753663	0.114233	1.5797	0.135653	-0.0931717	2.00464	-0.0101203	0.738341	36.749	177.416	-0.1	0.1
12.43	2.54272	0.0762138	0.112915	1.99071	0.0847474	-0.131801	2.14725	-0.00233786	0.746792	38.3246	177.408	-0.1	0.1
12.44	2.56832	0.0766402	0.111586	2.35851	0.0426359	-0.132868	2.32428	0.00621716	0.755788	39.9319	177.407	-0.1	0.1
12.45	2.5976	0.076479	0.109591	2.71488	-0.0161164	-0.199505	2.49832	0.0158716	0.765129	41.6097	177.405	-0.1	0.1
12.46	2.63	0.0757582	0.107028	3.01443	-0.0720777	-0.256344	2.73225	0.0265214	0.774737	43.3669	177.444	0.1	0
12.47	2.64541	0.074564	0.105145	1.31832	-0.119427	-0.188293	2.9132	0.0368708	0.782963	41.3638	177.536	0.1	0
12.48	2.64623	0.0719415	0.104757	-0.104723	-0.262246	-0.0388041	2.56512	0.0478227	0.791147	39.6161	177.599	0.1	0
12.49	2.64123	0.0697313	0.104555	-0.699033	-0.221016	-0.0201978	2.80575	0.0580972	0.798451	37.9601	177.663	0.1	0
12.5	2.63117	0.0669221	0.104786	-1.17359	-0.280928	0.0231616	2.39586	0.0687664	0.805861	36.3495	177.71	0.1	-0.1
12.51	2.61619	0.0652349	0.10546	-1.65318	-0.168715	0.0673704	2.25666	0.0778362	0.812458	34.5936	177.708	0.1	0
12.52	2.59727	0.0636183	0.105431	-2.04527	-0.161665	-0.00288859	2.24083	0.0870568	0.818094	33.1583	177.72	0	-0.1
12.53	2.58373	0.0635496	0.105877	-1.48144	-0.00686496	0.0445947	1.85317	0.0946813	0.823724	32.7815	177.733	-0.1	0
12.54	2.58472	0.0649456	0.105249	-0.0425472	0.139602	-0.0628479	1.935	0.101853	0.82918	33.9785	177.726	-0.1	0.1
12.55	2.59905	0.0663434	0.104341	1.27533	0.139772	-0.0907719	2.07061	0.1098	0.835685	35.4594	177.697	-0.1	0.1
12.56	2.61778	0.0672343	0.103498	1.70336	0.0890933	-0.0842363	2.25223	0.118314	0.843234	37.0127	177.705	-0.1	0.1
12.57	2.64058	0.0674288	0.102054	2.09743	0.019452	-0.144429	2.43199	0.127994	0.851264	38.6357	177.718	-0.1	0.1
12.58	2.66704	0.0671162	0.100767	2.4515	-0.0312567	-0.128704	2.64344	0.13849	0.859771	40.2578	177.719	0	0
12.59	2.68774	0.06696	0.0987412	1.88004	-0.0156209	-0.202595	2.68588	0.148969	0.866908	39.9398	177.728	-0.1	0
12.6	2.71215	0.0672274	0.096927	2.26557	0.0267401	-0.181417	2.51977	0.15908	0.874347	41.3255	177.778	-0.1	0.1
12.61	2.74019	0.0667143	0.0948181	2.62171	-0.0513159	-0.210895	2.69668	0.170351	0.882247	43.0471	177.823	0.1	0.1
12.62	2.75239	0.064187	0.0937971	1.03812	-0.252725	-0.102097	2.86355	0.183001	0.89021	41.4632	177.867	0.1	0
12.63	2.75002	0.0613555	0.0929937	-0.422934	-0.283147	-0.0803381	3.07809	0.195484	0.896747	39.7615	177.893	0.1	0
