# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.079	0.0315517	-0.000125179	0.032605	0.0100329	-0.00289644	0	0.00747359	0.000166447	178.748	0	0
0.08	0.0315236	-0.000128098	0.032605	-0.0280822	-0.00291927	0	0.00753823	4.13328e-05	178.748	0	0
0.081	0.0315339	-0.000131035	0.032605	0.0102031	-0.0029363	0	0.00780602	7.66433e-05	178.748	0	0
0.082	0.0315059	-0.000134047	0.032605	-0.0279135	-0.00301255	0	0.00777339	5.44774e-05	178.748	0	0
0.083	0.0315163	-0.000137043	0.032605	0.0103716	-0.00299566	0	0.0077179	8.8062e-05	178.748	0	0
0.084	0.0314888	-0.000140104	0.032605	-0.0275063	-0.00306116	0	0.00707384	4.19557e-05	178.748	0	0
0.085	0.0314995	-0.000142997	0.032605	0.0106821	-0.00289336	0	0.00779327	9.57418e-05	178.748	0	0
0.086	0.0314723	-0.000145994	0.032605	-0.0272042	-0.00299672	0	0.00694926	8.3408e-05	178.748	0	0
0.087	0.0314833	-0.000148831	0.0326068	0.010989	-0.00283672	0.00182539	0.00768275	0.000104859	178.748	0	0
0.088	0.0314564	-0.000151826	0.032605	-0.0269057	-0.00299475	-0.00182539	0.0069683	5.74953e-05	178.748	0	0
0.089	0.0314677	-0.000154716	0.032605	0.0112938	-0.00289053	0	0.00788726	0.000128718	178.748	0	0
0.09	0.031441	-0.000157779	0.0326068	-0.0266217	-0.00306262	0.00182539	0.00723843	0.000107011	178.748	0	0
0.091	0.0314526	-0.000160757	0.0326068	0.011617	-0.00297862	0	0.00822808	7.35501e-05	178.748	0	0
0.092	0.0314264	-0.000163937	0.032605	-0.0263015	-0.00317942	-0.00182539	0.00753108	8.9369e-05	178.748	0	0
0.093	0.0314383	-0.000167026	0.032605	0.0119124	-0.00308937	0	0.00844652	0.00013616	178.748	0	0
