# t	p	dpdt	w	dwdt	ctrl	T	V
3.13912	-0.0247578	0.0845922	-1.35551	-0.95538	0	0.250399	196.14
3.17259	-0.0224068	0.0563474	-1.38492	-0.803514	0	0.205791	196.151
3.20618	-0.0209568	0.0302771	-1.40947	-0.659357	0	0.168444	196.157
3.2398	-0.0203589	0.0054095	-1.42928	-0.519514	0	0.137496	196.159
3.27346	-0.0205913	-0.0192655	-1.44443	-0.380317	0	0.112566	196.158
3.30707	-0.0216623	-0.0446852	-1.45484	-0.238492	0	0.093869	196.154
3.34056	-0.0236067	-0.071816	-1.46038	-0.0906358	0	0.0821226	196.145
3.37408	-0.0265075	-0.101854	-1.46106	0.0280061	-10	0.0927668	196.131
3.40768	-0.0267245	0.0888934	-1.47623	-0.925563	0	0.221199	196.13
3.44132	-0.0242582	0.058219	-1.50463	-0.76464	0	0.177452	196.142
3.47502	-0.0227792	0.0298564	-1.52781	-0.612008	0	0.141848	196.149
3.50872	-0.0222323	0.00270618	-1.54593	-0.463764	0	0.113347	196.152
3.54233	-0.0225934	-0.0242633	-1.55904	-0.316304	0	0.0916042	196.15
3.57601	-0.0238778	-0.0522692	-1.56716	-0.164995	0	0.0767804	196.144
3.60961	-0.0261314	-0.0823245	-1.57007	-0.00637683	0	0.0698948	196.133
3.64316	-0.0294409	-0.115643	-1.56896	0.0701514	-10	0.104005	196.115
3.67671	-0.0301891	0.0708892	-1.58243	-0.86751	0	0.218292	196.111
3.71023	-0.0284074	0.0357757	-1.60852	-0.690676	0	0.176369	196.121
3.74377	-0.0277747	0.00207431	-1.6288	-0.518915	0	0.143839	196.124
3.7773	-0.0282669	-0.0315298	-1.64333	-0.347527	0	0.12018	196.122
3.81082	-0.0299025	-0.0663897	-1.65205	-0.171609	-10	0.105825	196.112
3.84444	-0.0289872	0.121017	-1.67355	-1.10814	0	0.285648	196.118
3.8779	-0.0254947	0.088435	-1.70779	-0.940593	0	0.232184	196.136
3.91153	-0.0230201	0.0592577	-1.73677	-0.785129	0	0.188099	196.148
3.94525	-0.02148	0.0324044	-1.76074	-0.637941	0	0.151664	196.155
3.97891	-0.0208204	0.0069132	-1.77982	-0.495772	0	0.121956	196.157
4.01244	-0.0210089	-0.0181965	-1.79408	-0.355183	0	0.0985429	196.157
4.04596	-0.0220485	-0.0440338	-1.8036	-0.211968	0	0.0814272	196.152
4.07956	-0.0239865	-0.0717105	-1.80823	-0.0619718	0	0.0713072	196.144
4.11311	-0.0268946	-0.102234	-1.80817	0.0436717	-10	0.0877149	196.129
4.14669	-0.0271346	0.087885	-1.82276	-0.907405	0	0.211227	196.128
4.18027	-0.0247142	0.0567454	-1.85048	-0.744883	0	0.168345	196.14
4.21383	-0.0232984	0.0279158	-1.87287	-0.590763	0	0.133795	196.147
4.2474	-0.022828	0.000202207	-1.89018	-0.440668	0	0.106448	196.149
4.28092	-0.0232834	-0.0274637	-1.90244	-0.290816	0	0.0859973	196.147
4.3145	-0.0246848	-0.0562848	-1.90964	-0.136696	0	0.0727232	196.14
4.34801	-0.0270827	-0.0873088	-1.91157	0.0100645	-10	0.0727705	196.128
4.38162	-0.0268183	0.103097	-1.92732	-0.94234	0	0.206222	196.129
4.41517	-0.0238797	0.0726854	-1.95621	-0.782519	0	0.16217	196.144
4.44868	-0.0219106	0.0452271	-1.97991	-0.633445	0	0.126576	196.153
4.48232	-0.0208257	0.019498	-1.9988	-0.490459	0	0.0978606	196.157
