# t	p	dpdt	w	dwdt	ctrl	T	V
4.22708	0.00108016	-0.0149272	-0.0351648	-0.000450063	0	0.00225518	196.2
4.26065	0.000597686	-0.0139177	-0.0351799	-0.000450063	0	0.00196219	196.2
4.29426	0.000138869	-0.0134739	-0.035195	-0.000450063	0	0.00183983	196.2
4.32775	-0.000312643	-0.0135782	-0.0352036	0.000118027	0	0.00183728	196.2
4.36129	-0.000777383	-0.0142334	-0.0351996	0.000118027	0	0.00201919	196.2
4.39471	-0.00127195	-0.0154611	-0.0351957	0.000118027	0	0.00238317	196.2
4.42815	-0.00181808	-0.0173132	-0.0351917	0.000118027	0	0.00298929	196.2
4.46169	-0.00243973	-0.0198733	-0.0351878	0.000118027	0	0.00394012	196.199
4.4952	-0.00315959	-0.0232363	-0.0351838	0.000118027	0	0.0053883	196.199
4.52894	-0.00401376	-0.0275737	-0.0351798	0.000118027	-20	0.00759006	196.198
4.56259	0.00254598	0.418733	-0.0720314	-2.19006	20	0.723187	196.199
4.59615	0.00921192	-0.0201072	-0.107603	0.0634088	0	0.00115469	196.192
4.62981	0.00871882	-0.00929206	-0.106775	-0.00306149	0	0.000982365	196.193
4.66358	0.00858227	0.0011769	-0.106878	-0.00306149	0	4.59414e-06	196.193
4.69724	0.00879755	0.0116592	-0.106981	-0.00306149	0	0.00122174	196.192
4.73074	0.00936888	0.0225649	-0.107084	-0.00306149	20	0.0048206	196.191
4.76432	0.00277882	-0.416362	-0.0708814	2.15902	-20	0.701606	196.199
4.7979	-0.00369822	0.0292317	-0.0367442	-0.115892	0	0.00238117	196.199
4.83156	-0.00278306	0.0253211	-0.0401444	-0.0874527	0	0.00176041	196.199
4.86514	-0.0019837	0.0224523	-0.042711	-0.0665893	0	0.00149952	196.2
4.89871	-0.00126531	0.0204977	-0.0446899	-0.052374	0	0.00141604	196.2
4.93226	-0.000598663	0.0193768	-0.0462939	-0.0442221	0	0.00140265	196.2
4.96586	4.46368e-05	0.0190431	-0.0477232	-0.041782	0	0.00140393	196.2
4.99956	0.000691837	0.0194881	-0.0491316	-0.041782	0	0.00150101	196.2
5.03324	0.00136669	0.0207305	-0.0505385	-0.041782	0	0.00179305	196.2
5.0669	0.00209721	0.0228204	-0.051945	-0.041782	0	0.00235394	196.2
5.10051	0.00291208	0.0258377	-0.0533492	-0.041782	0	0.00331785	196.199
5.13417	0.00384744	0.0299164	-0.0547558	-0.041782	0	0.00491023	196.199
5.16776	0.00493754	0.0352053	-0.0561594	-0.041782	20	0.00747055	196.198
5.20134	-0.00131153	-0.408736	-0.0209588	2.13844	-20	0.689534	196.2
5.23494	-0.00761328	0.0323075	0.0127814	-0.120268	0	0.00285137	196.194
5.26847	-0.00667703	0.0237196	0.00981837	-0.0578167	0	0.00197928	196.196
5.30195	-0.00601261	0.0161055	0.00882582	-0.0024455	0	0.00243962	196.196
5.33554	-0.00559036	0.00912014	0.00897972	0.00535209	0	0.00104277	196.197
5.36922	-0.00539554	0.00248947	0.00915996	0.00535209	0	0.000131024	196.197
5.40279	-0.00542113	-0.00401922	0.00933964	0.00535209	0	9.12523e-05	196.197
5.43638	-0.00566742	-0.0106948	0.00951942	0.00535209	0	0.000930595	196.197
5.46993	-0.00614383	-0.0177978	0.009699	0.00535209	0	0.00280235	196.196
5.50349	-0.00687008	-0.0256255	0.00987863	0.00535209	-20	0.00603385	196.195
5.53711	-0.000317811	0.416759	-0.0265071	-2.16995	20	0.709268	196.2
5.57067	0.00622315	-0.0255543	-0.0611889	0.096124	0	0.00178679	196.196
5.6042	0.00548666	-0.0185162	-0.0588416	0.0449414	0	0.00121082	196.197
5.63767	0.00497367	-0.0122414	-0.0581136	6.0609e-05	0	0.00149555	196.198
5.67123	0.00466115	-0.006446	-0.0583067	-0.0063947	0	0.000602879	196.198
5.70478	0.0045381	-0.000915008	-0.0585213	-0.0063947	0	5.42677e-05	196.198
5.73832	0.00459932	0.004578	-0.0587357	-0.0063947	0	0.000114973	196.198
5.77193	0.00484801	0.0102694	-0.0589507	-0.0063947	0	0.000814418	196.198
5.80546	0.00529309	0.0163647	-0.0591651	-0.0063947	0	0.00228194	196.197
5.83897	0.00595235	0.0231179	-0.0593794	-0.0063947	20	0.00477556	196.197
5.87243	-0.000635832	-0.41828	-0.0233083	2.16263	-20	0.703574	196.2
5.90596	-0.00724815	0.0225086	0.0112025	-0.0973958	0	0.0015149	196.195
5.9395	-0.00663521	0.0141632	0.00896859	-0.0367065	0	0.000667528	196.196
5.9731	-0.00629123	0.00637789	0.00862652	0.00567566	0	0.000569285	196.196
6.00685	-0.00620381	-0.00117943	0.00881806	0.00567566	0	4.85212e-06	196.196
6.0405	-0.00637053	-0.00876276	0.00900905	0.00567566	0	0.000586644	196.196
6.07426	-0.0067994	-0.0167309	0.00920066	0.00567566	0	0.00243713	196.195
6.108	-0.0075074	-0.0253812	0.00939215	0.00567566	-20	0.00588358	196.194
6.14152	-0.00100203	0.414882	-0.026716	-2.1602	20	0.702917	196.2
6.17506	0.00546199	-0.0281328	-0.0610201	0.108178	0	0.00217769	196.197
6.20859	0.00462315	-0.0220724	-0.0581524	0.0641047	0	0.00147237	196.198
6.24216	0.00397112	-0.016901	-0.0566476	0.0264956	0	0.00145134	196.198
6.27561	0.00348218	-0.0124326	-0.056306	-0.00130358	0	0.00161145	196.199
6.30909	0.00313353	-0.00846202	-0.0563496	-0.00130358	0	0.000761115	196.199
6.34267	0.00291122	-0.00482388	-0.0563934	-0.00130358	0	0.000258786	196.199
6.37624	0.00280739	-0.00138271	-0.0564372	-0.00130358	0	2.72634e-05	196.199
6.40975	0.00281763	0.0019958	-0.0564808	-0.00130358	0	3.036e-05	196.199
6.44336	0.0029426	0.005466	-0.0565247	-0.00130358	0	0.000271205	196.199
6.47687	0.00318656	0.00914655	-0.0565683	-0.00130358	0	0.000789835	196.199
6.5104	0.00356005	0.013202	-0.0566121	-0.00130358	0	0.00167503	196.199
6.54401	0.00407935	0.017804	-0.0566559	-0.00130358	0	0.00307793	196.198
6.5775	0.00476204	0.0231101	-0.0566995	-0.00130358	20	0.0052212	196.198
6.6112	-0.00195513	-0.423058	-0.0198286	2.18922	-20	0.721098	196.2
6.64473	-0.00875563	0.0160009	0.0156761	-0.0644478	0	0.000719988	196.192
6.67828	-0.00839297	0.0056895	0.0147628	0.00296516	0	0.000396019	196.193
6.71194	-0.00837172	-0.00442279	0.0148626	0.00296516	0	0.000147991	196.193
6.74548	-0.008691	-0.0146792	0.0149621	0.00296516	0	0.00198551	196.193
6.77901	-0.00936267	-0.0255252	0.0150615	0.00296516	-20	0.00621747	196.191
6.81252	-0.00290193	0.412408	-0.020989	-2.15432	20	0.699584	196.199
6.84616	0.00343696	-0.0342003	-0.0549549	0.121804	0	0.00319369	196.199
6.8798	0.00234886	-0.0307121	-0.0513111	0.0964359	0	0.0027003	196.199
6.91339	0.00135796	-0.0284802	-0.0483684	0.0802045	0	0.00251229	196.2
6.94705	0.000420417	-0.0274072	-0.0458228	0.0724008	0	0.00245736	196.2
6.98064	-0.000497709	-0.0274537	-0.043415	0.0715766	0	0.00249465	196.2
7.01422	-0.001436	-0.0286176	-0.0410114	0.0715766	0	0.00281404	196.2
7.04791	-0.00243602	-0.0309553	-0.0386002	0.0715766	0	0.00353741	196.199
7.08139	-0.00352876	-0.0345349	-0.0362036	0.0715766	0	0.00485685	196.199
7.11501	-0.00476979	-0.0395354	-0.0337969	0.0715766	-20	0.00712914	196.198
7.1485	0.0013036	0.403437	-0.0678354	-2.10377	20	0.66688	196.2
7.18204	0.00742833	-0.0369019	-0.100422	0.147768	0	0.00381589	196.195
7.21576	0.00632778	-0.0285886	-0.096485	0.0873139	0	0.0023816	196.196
7.24941	0.0054886	-0.0214634	-0.0944396	0.035498	0	0.00225226	196.197
7.28294	0.0048754	-0.015235	-0.0940082	-0.00312024	0	0.00251655	196.198
7.31649	0.00445987	-0.00962212	-0.0941128	-0.00312024	0	0.0010513	196.198
7.35002	0.0042255	-0.00440129	-0.0942175	-0.00312024	0	0.000254	196.198
7.38355	0.00416265	0.000639245	-0.0943221	-0.00312024	0	1.46276e-06	196.198
7.41704	0.00426844	0.00569974	-0.0944266	-0.00312024	0	0.000259088	196.198
7.45072	0.00454917	0.0110237	-0.0945317	-0.00312024	0	0.00108299	196.198
7.48428	0.00501398	0.0167749	-0.0946364	-0.00312024	0	0.00260997	196.198
7.5179	0.00568409	0.0232214	-0.0947413	-0.00312024	20	0.00510787	196.197
7.55141	-0.000930339	-0.419275	-0.058415	2.17087	-20	0.709123	196.2
7.58496	-0.00758189	0.0213536	-0.0236067	-0.088889	0	0.00131327	196.194
7.61861	-0.00701338	0.0125525	-0.0255069	-0.0248865	0	0.000666762	196.195
7.65223	-0.00673153	0.00427045	-0.0256404	0.00228856	0	0.00022434	196.196
7.68579	-0.00672405	-0.00382269	-0.0255636	0.00228856	0	0.000114017	196.196
7.71938	-0.00699022	-0.0120789	-0.0254867	0.00228856	0	0.0013513	196.195
7.75299	-0.00754142	-0.0208318	-0.0254098	0.00228856	-20	0.00415183	196.194
7.78643	-0.000917479	0.418395	-0.061456	-2.15846	20	0.70061	196.2
7.82007	0.0056643	-0.0257969	-0.0956989	0.116176	0	0.00209035	196.197
7.85376	0.00490535	-0.0194156	-0.0925857	0.0697697	0	0.00102854	196.198
7.88728	0.00434951	-0.0138544	-0.0909382	0.0293262	0	0.000767292	196.198
7.9208	0.00397017	-0.00885611	-0.0905611	-0.00161017	0	0.000842772	196.198
7.95432	0.0037518	-0.00421669	-0.0906151	-0.00161017	0	0.000206389	196.199
7.98794	0.0036856	0.000264627	-0.0906692	-0.00161017	0	4.21864e-07	196.199
8.02168	0.00377028	0.00477287	-0.0907235	-0.00161017	0	0.000198489	196.199
8.05524	0.00400817	0.00945173	-0.0907775	-0.00161017	0	0.000833903	196.198
8.08885	0.0044097	0.0145227	-0.0908317	-0.00161017	0	0.00201697	196.198
8.12245	0.00499091	0.0201847	-0.0908858	-0.00161017	0	0.00394563	196.198
8.15612	0.00577709	0.0266812	-0.09094	-0.00161017	20	0.00694847	196.197
8.18971	-0.00075402	-0.416766	-0.0543884	2.17725	-20	0.714556	196.2
8.22324	-0.00731777	0.0238314	-0.0193793	-0.0819589	0	0.00156128	196.195
8.25683	-0.00666079	0.0154161	-0.0210884	-0.0207617	0	0.00133341	196.196
8.29035	-0.00627555	0.00764332	-0.0211215	0.00494084	0	0.000748685	196.196
8.32394	-0.00614484	0.000168048	-0.0209556	0.00494084	0	1.70301e-05	196.196
8.35738	-0.00626321	-0.00726999	-0.0207903	0.00494084	0	0.000398278	196.196
8.39091	-0.00663568	-0.0150216	-0.0206247	0.00494084	0	0.00197305	196.196
8.42452	-0.00727905	-0.023401	-0.0204586	0.00494084	-20	0.00502704	196.195
8.45813	-0.000661618	0.418474	-0.0568204	-2.16843	20	0.707625	196.2
8.49169	0.00593006	-0.0243434	-0.0914262	0.0996542	0	0.00168452	196.197
8.52524	0.00522833	-0.0176347	-0.0889188	0.0508665	0	0.000944881	196.197
8.55899	0.00473653	-0.0116068	-0.0879539	0.00702939	0	0.00104801	196.198
8.59245	0.00444124	-0.00610267	-0.0880201	-0.00319764	0	0.000456106	196.198
8.62613	0.00432521	-0.000811406	-0.0881278	-0.00319764	0	2.25857e-05	196.198
8.65966	0.00438556	0.00442345	-0.088235	-0.00319764	0	0.000144715	196.198
8.6931	0.00462296	0.00982291	-0.0883419	-0.00319764	0	0.00084488	196.198
8.72659	0.00504771	0.0156278	-0.088449	-0.00319764	0	0.00224801	196.198
8.76017	0.00567888	0.0220846	-0.0885564	-0.00319764	0	0.00460044	196.197
8.79362	0.00653711	0.0294072	-0.0886633	-0.00319764	20	0.00827731	196.196
8.82723	0.00010805	-0.413241	-0.0521941	2.17298	-20	0.712837	196.2
8.86084	-0.00631667	0.0296344	-0.0174033	-0.0962217	0	0.00246855	196.196
8.89429	-0.00544629	0.0225827	-0.0197429	-0.0449404	0	0.00215115	196.197
8.92793	-0.00479263	0.0164094	-0.0204835	-4.56028e-05	0	0.00268968	196.198
8.96168	-0.00433358	0.0108897	-0.0202964	0.00615461	0	0.00147478	196.198
8.99537	-0.00405298	0.00582595	-0.020089	0.00615461	0	0.000503676	196.198
9.02897	-0.00393846	0.00101243	-0.0198822	0.00615461	0	5.60081e-05	196.198
9.0626	-0.00398455	-0.00376301	-0.0196753	0.00615461	0	6.97973e-05	196.198
9.0962	-0.00419303	-0.00868794	-0.0194684	0.00615461	0	0.000561755	196.198
9.12981	-0.00457247	-0.0139681	-0.0192616	0.00615461	0	0.00162805	196.198
9.16332	-0.0051364	-0.0197998	-0.0190553	0.00615461	0	0.00345373	196.197
9.1968	-0.0059076	-0.0264263	-0.0188493	0.00615461	-20	0.00635379	196.197
9.23037	0.000617826	0.416494	-0.055178	-2.17032	20	0.709633	196.2
9.26408	0.00716502	-0.0266414	-0.0899269	0.101587	0	0.00194819	196.195
9.29764	0.0064105	-0.0184766	-0.0875326	0.0422119	0	0.0012742	196.196
9.33116	0.00591694	-0.0110706	-0.0870136	-0.00358256	0	0.00139128	196.197
9.36481	0.00566275	-0.00408573	-0.0871341	-0.00358256	0	0.00023254	196.197
9.39843	0.00563994	0.00272443	-0.0872546	-0.00358256	0	4.2243e-05	196.197
9.4322	0.00584865	0.00967785	-0.0873756	-0.00358256	0	0.000804984	196.197
9.46574	0.00629417	0.0169774	-0.0874957	-0.00358256	0	0.00264608	196.196
9.49923	0.00699384	0.0249519	-0.0876157	-0.00358256	20	0.00587549	196.195
9.53275	0.000462155	-0.41599	-0.0513917	2.16483	-20	0.705854	196.2
9.56639	-0.00604753	0.0276569	-0.0169022	-0.10776	0	0.00211475	196.196
9.59998	-0.00523542	0.0208651	-0.0196721	-0.0583687	0	0.00135592	196.197
9.63366	-0.00463504	0.0149069	-0.0208935	-0.015038	0	0.00144986	196.198
9.6672	-0.00422572	0.00957946	-0.0209392	0.00272167	0	0.00102602	196.198
9.70081	-0.00398771	0.00463176	-0.0208477	0.00272167	0	0.00026903	196.198
9.73433	-0.00391226	-0.000114036	-0.0207565	0.00272167	0	2.96271e-06	196.198
9.7679	-0.00399566	-0.00487179	-0.0206651	0.00272167	0	0.00018838	196.198
9.80154	-0.00424231	-0.00983968	-0.0205735	0.00272167	0	0.000865147	196.198
9.83521	-0.00466263	-0.0152132	-0.0204819	0.00272167	0	0.00215287	196.198
9.8689	-0.00527417	-0.0212132	-0.0203902	0.00272167	0	0.00427315	196.197
